R	53.3909	-6.15672	P621	04 Feb 2026	P621\n18:52 - Drogheda to Grand Canal Dock (2 mins late)\nDeparted Howth Junction next stop Dublin Connolly	To Grand Canal Dock
R	53.4032	-6.14839	D831	04 Feb 2026	D831\n19:19 - Grand Canal Dock to Drogheda (0 mins late)\nArrived Clongriffin next stop Malahide	To Drogheda
R	53.4157	-6.83395	A913	04 Feb 2026	A913\n17:05 - Sligo to Dublin Connolly (-1 mins late)\nArrived Enfield next stop Kilcock	Southbound
R	53.4169	-6.1512	E128	04 Feb 2026	E128\n19:34 - Malahide to Greystones (2 mins late)\nArrived Portmarnock next stop Clongriffin	Southbound
R	53.523	-7.34608	D930	04 Feb 2026	D930\n18:16 - Dublin Connolly to Longford (1 mins late)\nDeparted Mullingar next stop Edgeworthstown	Northbound
R	53.5741	-6.11933	D830	04 Feb 2026	D830\n18:59 - Grand Canal Dock to Drogheda (1 mins late)\nArrived Skerries next stop Balbriggan	To Drogheda
R	53.712	-6.33538	A125	04 Feb 2026	A125\n18:00 - Belfast to Dublin Connolly (0 mins late)\nDeparted Drogheda next stop Dublin Connolly	Southbound
R	53.712	-6.33538	A126	04 Feb 2026	A126\n18:50 - Dublin Connolly to Belfast (3 mins late)\nDeparted Drogheda next stop Dundalk	Northbound
R	53.712	-6.33538	P622	04 Feb 2026	P622\n19:48 - Drogheda to Grand Canal Dock (-48 mins late)\nDeparted Drogheda next stop Laytown	To Grand Canal Dock
R	53.7955	-9.50885	A811	04 Feb 2026	A811\n18:30 - Westport to Dublin Heuston (0 mins late)\nDeparted Westport next stop Castlebar	To Dublin Heuston
R	53.9676	-8.30438	A912	04 Feb 2026	A912\n17:05 - Dublin Connolly to Sligo (-1 mins late)\nArrived Boyle next stop Ballymote	Northbound
R	54.0007	-6.41291	A124	04 Feb 2026	A124\n17:50 - Dublin Connolly to Belfast (3 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0887	-8.52088	A915	04 Feb 2026	A915\n19:05 - Sligo to Dublin Connolly (3 mins late)\nDeparted Ballymote next stop Boyle	Southbound
T	53.0371	-7.30086	D220	04 Feb 2026	D220\n18:25 - Dublin Heuston to Portlaoise(-3 mins late)\nTERMINATED Portlaoise at 19:36	To Portlaoise
T	53.3397	-6.23773	P419	04 Feb 2026	P419\n18:52 - Hazelhatch to Grand Canal Dock(4 mins late)\nTERMINATED Grand Canal Dock at 19:39	Northbound
T	53.4349	-6.46898	D324	04 Feb 2026	D324\n18:55 - Docklands to M3 Parkway(1 mins late)\nTERMINATED M3 Parkway at 19:33	Northbound
T	53.4509	-6.15649	E838	04 Feb 2026	E838\n18:25 - Bray to Malahide(2 mins late)\nTERMINATED Malahide at 19:40	Northbound
T	53.7243	-7.79574	D925	04 Feb 2026	D925\n17:09 - Grand Canal Dock to Longford(-1 mins late)\nTERMINATED Longford at 19:38	To Longford
T	54.0007	-6.41291	D828	04 Feb 2026	D828\n17:59 - Grand Canal Dock to Dundalk(2 mins late)\nTERMINATED Dundalk at 19:39	To Dundalk
